time(UTC),Fabrication,Energy (Wh)
2020-02-03T05:00:00Z,98080906,2039
2020-02-03T06:00:00Z,98080906,5680
2020-02-03T07:00:00Z,98080906,2017
2020-02-03T08:00:00Z,98080906,9504
2020-02-03T09:00:00Z,98080906,7851
2020-02-03T10:00:00Z,98080906,5680
2020-02-03T11:00:00Z,98080906,3574
2020-02-03T12:00:00Z,98080906,5680
2020-02-03T13:00:00Z,98080906,5680
2020-02-03T14:00:00Z,98080906,4814
2020-02-03T15:00:00Z,98080906,2819
2020-02-03T16:00:00Z,98080906,5680
2020-02-03T17:00:00Z,98080906,7704
2020-02-03T18:00:00Z,98080906,5680
2020-02-03T19:00:00Z,98080906,5680
2020-02-03T20:00:00Z,98080906,4835
2020-02-03T21:00:00Z,98080906,5680
2020-02-03T22:00:00Z,98080906,7834
2020-02-03T23:00:00Z,98080906,5680
2020-02-04T00:00:00Z,98080906,4076
2020-02-04T01:00:00Z,98080906,5680
2020-02-04T02:00:00Z,98080906,4080
2020-02-04T03:00:00Z,98080906,6188
2020-02-04T04:00:00Z,98080906,5680
2020-02-04T05:00:00Z,98080906,4108
