time(UTC),Fabrication,Energy (Wh)
2020-02-03T05:00:00Z,98080918,5958
2020-02-03T06:00:00Z,98080918,2465
2020-02-03T07:00:00Z,98080918,7584
2020-02-03T08:00:00Z,98080918,2906
2020-02-03T09:00:00Z,98080918,9683
2020-02-03T10:00:00Z,98080918,3848
2020-02-03T11:00:00Z,98080918,3136
2020-02-03T12:00:00Z,98080918,1700
2020-02-03T13:00:00Z,98080918,8673
2020-02-03T14:00:00Z,98080918,1515
2020-02-03T15:00:00Z,98080918,9346
2020-02-03T16:00:00Z,98080918,9048
2020-02-03T17:00:00Z,98080918,4749
2020-02-03T18:00:00Z,98080918,4851
2020-02-03T19:00:00Z,98080918,9055
2020-02-03T20:00:00Z,98080918,6874
2020-02-03T21:00:00Z,98080918,4544
2020-02-03T22:00:00Z,98080918,7309
2020-02-03T23:00:00Z,98080918,8555
2020-02-04T00:00:00Z,98080918,8569
2020-02-04T01:00:00Z,98080918,4090
2020-02-04T02:00:00Z,98080918,5363
2020-02-04T03:00:00Z,98080918,2741
2020-02-04T04:00:00Z,98080918,3421
2020-02-04T05:00:00Z,98080918,3488
