time(UTC),Fabrication,Energy (Wh)
2020-02-03T05:00:00Z,98080907,1769
2020-02-03T06:00:00Z,98080907,9798
2020-02-03T07:00:00Z,98080907,8376
2020-02-03T08:00:00Z,98080907,1590
2020-02-03T09:00:00Z,98080907,5907
2020-02-03T10:00:00Z,98080907,3830
2020-02-03T11:00:00Z,98080907,4902
2020-02-03T12:00:00Z,98080907,9046
2020-02-03T13:00:00Z,98080907,8101
2020-02-03T14:00:00Z,98080907,6161
2020-02-03T15:00:00Z,98080907,1852
2020-02-03T16:00:00Z,98080907,5928
2020-02-03T17:00:00Z,98080907,5382
2020-02-03T18:00:00Z,98080907,4017
2020-02-03T19:00:00Z,98080907,8418
2020-02-03T20:00:00Z,98080907,8818
2020-02-03T21:00:00Z,98080907,7879
2020-02-03T22:00:00Z,98080907,7516
2020-02-03T23:00:00Z,98080907,2699
2020-02-04T00:00:00Z,98080907,2078
2020-02-04T01:00:00Z,98080907,2838
2020-02-04T02:00:00Z,98080907,4579
2020-02-04T03:00:00Z,98080907,3488
2020-02-04T04:00:00Z,98080907,9411
2020-02-04T05:00:00Z,98080907,4835
